date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:55	396/396	---M--	200	added ('OK')	text/plain	date:Wed,%2003%20Mar%202021%2012:18:14%20GMT	https://melodietang.com/robots.txt		(from )
21:47:58	11907/11907	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2019:47:55%20GMT	https://melodietang.com/	/home/nemanja/Desktop/eirc_upwork/melodietang.com/index.html	(from )
21:47:59	5842/5842	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2019:47:59%20GMT	https://gmpg.org/xfn/11	/home/nemanja/Desktop/eirc_upwork/gmpg.org/xfn/11.html	(from https://melodietang.com/)
21:48:01	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2021%20Sep%202024%2019:47:59%20GMT	https://melodietang.com/xmlrpc.php	/home/nemanja/Desktop/eirc_upwork/melodietang.com/xmlrpc.1.delayed	(from https://melodietang.com/)
21:48:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Sep%202024%2019:48:02%20GMT	http://s.w.org/	/home/nemanja/Desktop/eirc_upwork/s.w.org/index.html	(from https://melodietang.com/)
21:48:02	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Sep%202024%2019:48:02%20GMT	http://fonts.googleapis.com/	/home/nemanja/Desktop/eirc_upwork/fonts.googleapis.com/index.html	(from https://melodietang.com/)
21:48:02	1552/1552	---M--	200	added ('OK')	text/css	date:Fri,%2020%20Mar%202020%2022:01:04%20GMT	https://melodietang.com/wp-content/plugins/blog-designer-for-post-and-widget/assets/css/slick.css?ver=1.8	/home/nemanja/Desktop/eirc_upwork/melodietang.com/wp-content/plugins/blog-designer-for-post-and-widget/assets/css/slick4b1d.css	(from https://melodietang.com/)
21:48:04	17124/17124	---M--	200	added ('OK')	text/css	date:Fri,%2020%20Mar%202020%2022:01:04%20GMT	https://melodietang.com/wp-content/plugins/blog-designer-for-post-and-widget/assets/css/bdpw-public.css?ver=1.8	/home/nemanja/Desktop/eirc_upwork/melodietang.com/wp-content/plugins/blog-designer-for-post-and-widget/assets/css/bdpw-public4b1d.css	(from https://melodietang.com/)
21:48:04	22263/22263	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202017%2020:21:16%20GMT	https://melodietang.com/wp-content/themes/bold-headline/style.css?ver=4.7.29	/home/nemanja/Desktop/eirc_upwork/melodietang.com/wp-content/themes/bold-headline/style0155.css	(from https://melodietang.com/)
21:48:05	86913/86913	---MC-	200	added ('OK')	application/rss+xml	etag:%2221c654c87ca4c4dc7bb8e499f220ebb0%22	https://melodietang.com/feed/	/home/nemanja/Desktop/eirc_upwork/melodietang.com/feed/index.html	(from https://melodietang.com/)
21:48:05	715/715	---MC-	200	added ('OK')	application/rss+xml	etag:%223463a7529a3c21804dc794fbacbad0c7%22	https://melodietang.com/comments/feed/	/home/nemanja/Desktop/eirc_upwork/melodietang.com/comments/feed/index.html	(from https://melodietang.com/)
21:48:06	400/400	---MC-	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202024%2019:48:05%20GMT	https://fonts.googleapis.com/css?family=Lato%7CPlayfair+Display&ver=4.7.29	/home/nemanja/Desktop/eirc_upwork/fonts.googleapis.com/cssf2cf.css	(from https://melodietang.com/)
21:48:06	703/703	---MC-	200	added ('OK')	application/rss+xml	etag:%2259acf01ccda00a19ba24954a6051b978%22	https://melodietang.com/about-me/feed/	/home/nemanja/Desktop/eirc_upwork/melodietang.com/about-me/feed/index.html	(from https://melodietang.com/)
